,Unnamed: 0,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information,embeddings,similarities
109,109,Aluminium sheet - 3 mm,m²,2 400,1 300,217,http://doi.org/10.26188/5da551dec2e47,"[-0.0012673  -0.00149424 -0.00332198 ... -0.01652857 -0.01004729
 -0.01278687]",0.7548851838312148
110,110,Aluminium sheet - 6 mm,m²,4 800,2 600,434,http://doi.org/10.26188/5da551dec2e47,"[ 0.00303458 -0.00100935 -0.0010387  ... -0.01458423  0.00085607
 -0.01304493]",0.7539260002095607
111,111,Copper pipe,kg,150,289,10.1,http://doi.org/10.26188/5da55317e50fc,"[-0.02240529 -0.00061924  0.01404745 ... -0.01271988 -0.02537435
 -0.00635994]",0.7795683585294617
112,112,"Copper pipe - 12.7 mm outer dia., 0.91 mm thick",m,45.1,87,3,http://doi.org/10.26188/5da55317e50fc,"[ 0.00704356  0.01457379  0.01755957 ... -0.00608995 -0.01512623
 -0.03304094]",0.7500158945575549
113,113,"Copper pipe - 19.05 mm outer dia., 1.02 mm thick",m,77.3,149,5.2,http://doi.org/10.26188/5da55317e50fc,"[-0.00743399  0.01098995  0.03278582 ... -0.0118773  -0.02112542
 -0.03052473]",0.7436924689839234
114,114,"Copper pipe - 40 mm outer dia., 1.22 mm thick",m,199,384,13.4,http://doi.org/10.26188/5da55317e50fc,"[ 0.00233813  0.00581266  0.0231331  ... -0.00258304 -0.01939732
 -0.0142247 ]",0.74880262995194
115,115,Copper sheet,kg,226,389,15.1,http://doi.org/10.26188/5da55308b9bbe,"[-0.01680355  0.00213119  0.01370952 ... -0.01657053 -0.02608563
 -0.01987168]",0.7875940968516096
116,116,Copper sheet - 0.9 mm,m²,1 819,3 132,121,http://doi.org/10.26188/5da55308b9bbe,"[ 0.00239209 -0.00599102  0.01868455 ... -0.00515654 -0.01853826
 -0.01994792]",0.7626625495193317
117,117,Copper sheet - 1.2 mm,m²,2 426,4 175,162,http://doi.org/10.26188/5da55308b9bbe,"[-0.00445016  0.00506544  0.00709682 ... -0.00065515 -0.02830915
 -0.0266554 ]",0.7603182027446195
118,118,Copper sheet - 2 mm,m²,4 043,6 959,270,http://doi.org/10.26188/5da55308b9bbe,"[-0.00988311 -0.00024918  0.01376764 ... -0.01166022 -0.03144625
 -0.02004368]",0.7569413465416357
119,119,Copper sheet - 3 mm,m²,6 064,10 438,405,http://doi.org/10.26188/5da55308b9bbe,"[-0.00898843  0.00234895  0.01421855 ... -0.01074933 -0.02387717
 -0.02738582]",0.7537063619361731
120,120,Copper wire,kg,671,897,41.8,http://doi.org/10.26188/5da553272580f,"[-0.02216715 -0.00152172  0.01633984 ... -0.0088448  -0.02140143
 -0.00611608]",0.7778240060363166
121,121,Stainless steel wire,kg,226,253,13.9,http://doi.org/10.26188/5da5580349dda,"[-0.01836983  0.00528947 -0.013836   ... -0.01392719 -0.01338001
  0.00679423]",0.7495186180211064
